GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignemnt,com.practice.project06.filter,JwtFilter,15,72,6,10,0,18,6,4,0,2
Assignemnt,com.practice.project06.filter,JwtAuthenticationEntryPoint,0,8,0,0,0,3,0,2,0,2
Assignemnt,com.practice.project06.transaction,Transaction,34,57,0,0,7,15,6,8,6,8
Assignemnt,com.practice.project06.transaction,TransactionService,10,104,1,3,1,21,2,4,1,3
Assignemnt,com.practice.project06.transaction,TransactionDTO,0,31,0,0,0,6,0,9,0,9
Assignemnt,com.practice.project06.transaction,TransactionController,0,32,0,0,0,10,0,3,0,3
Assignemnt,com.practice.project06,Assignment,32,3,0,0,7,1,1,1,1,1
Assignemnt,com.practice.project06.config,ApiSecurityConfiguration,4,232,0,0,0,32,1,11,1,11
Assignemnt,com.practice.project06.balance,BalanceController,15,57,2,2,5,14,3,3,1,3
Assignemnt,com.practice.project06.balance,Balance,0,52,0,0,0,11,0,11,0,11
Assignemnt,com.practice.project06.balance,BalanceService,0,9,0,0,0,2,0,2,0,2
Assignemnt,com.practice.project06.balance,BalanceDTO,0,24,0,0,0,5,0,7,0,7
Assignemnt,com.practice.project06.user,CustomUserDetailsService,0,47,0,2,0,10,0,4,0,3
Assignemnt,com.practice.project06.user,UserController,0,14,0,0,0,3,0,3,0,3
Assignemnt,com.practice.project06.user,User,0,74,1,1,0,17,1,14,0,14
Assignemnt,com.practice.project06.user,UserService,17,30,1,1,2,8,1,3,0,3
Assignemnt,com.practice.project06.utility,JwtUtil,1,60,2,2,0,14,2,6,0,6
Assignemnt,com.practice.project06.account,AccountDTO,25,39,4,4,6,8,3,9,1,7
Assignemnt,com.practice.project06.account,AccountService,62,130,4,8,14,31,6,7,3,4
Assignemnt,com.practice.project06.account,Account,1,74,1,7,0,15,1,13,0,10
Assignemnt,com.practice.project06.account,AccountController,22,44,2,0,4,10,2,5,1,5
Assignemnt,com.practice.project06.auth,JwtResponse,16,0,0,0,4,0,4,0,4,0
Assignemnt,com.practice.project06.auth,AuthController,0,25,0,0,0,5,0,3,0,3
Assignemnt,com.practice.project06.auth,AuthRequest,9,17,0,0,1,4,1,5,1,5
Assignemnt,com.practice.project06.auth,AuthService,37,82,2,0,7,17,3,2,2,2
